build,origin,share_to_CA
g3.0,LA,0.020824455927376546
g3.0,MA,0.006550836121617286
g3.0,MD,0.003577322560681457
g3.0,ME,0.018558136715628618
g3.0,MI,0.07495035142020386
g3.0,MN,0.10878319535247412
g3.0,MO,0.06924509896270366
g3.0,MS,0.0300526179512831
g3.0,MT,0.2500229439969168
g3.0,NC,0.031938573529008696
g3.0,ND,0.15492385914633425
g3.0,NE,0.07520691909042128
g3.0,NH,0.004148712441127039
g3.0,NJ,0.0072060391271477715
g3.0,NM,0.20951079569071193
g3.0,NV,0.9338889035287223
g3.0,NY,0.015156879262091463
g3.0,OH,0.0340663262007102
g3.0,OK,0.0644901182209309
g3.0,OR,0.506411272853918
g3.0,PA,0.01630598451406951
g3.0,RI,0.0020920408214971766
g3.0,SC,0.03528907187496934
g3.0,SD,0.11159024713812751
g3.0,TN,0.05643037425794967
g3.0,TX,0.1541335572378263
g3.0,UT,0.5219388365131887
g3.0,VA,0.01670653029971931
g3.0,VT,0.006061470920633858
g3.0,WA,0.4068009282347999
g3.0,WI,0.08744508898206621
g3.0,WV,0.013182655577517329
g3.0,WY,0.08088844436387885
scen_economic,AK,0.34630683435710174
scen_economic,AL,0.03176773477110035
scen_economic,AR,0.06958180286648027
scen_economic,AZ,0.4070767902394461
scen_economic,CA,0.0
scen_economic,CO,0.22972860356106903
scen_economic,CT,0.004286156978896663
scen_economic,DC,0.009537955427833502
scen_economic,DE,0.00718845163741358
scen_economic,FL,0.045208676093664364
scen_economic,GA,0.040146701105692226
scen_economic,HI,0.4440425023802678
scen_economic,IA,0.0850475613451538
scen_economic,ID,0.6072213644834744
scen_economic,IL,0.06341347928848996
scen_economic,IN,0.03557689665370382
scen_economic,KS,0.06712227586464767
scen_economic,KY,0.03374763836922624
scen_economic,LA,0.026697621277046345
scen_economic,MA,0.009632530607974156
scen_economic,MD,0.006193540549615966
scen_economic,ME,0.021684498550247813
scen_economic,MI,0.07245343922132892
scen_economic,MN,0.10299374063316812
scen_economic,MO,0.07190823270466785
scen_economic,MS,0.03819287503811808
scen_economic,MT,0.23001262805598735
scen_economic,NC,0.03394443885975559
scen_economic,ND,0.1574052372875945
scen_economic,NE,0.07935497372202063
scen_economic,NH,0.006867535069082036
scen_economic,NJ,0.010934925142241099
scen_economic,NM,0.19605944375537768
scen_economic,NV,0.9127756494879696
scen_economic,NY,0.019215083569404413
scen_economic,OH,0.03622994432152211
scen_economic,OK,0.07419020573604068
scen_economic,OR,0.5232133535052854
scen_economic,PA,0.019871652653714367
scen_economic,RI,0.003412217621250862
scen_economic,SC,0.03943196058857783
scen_economic,SD,0.12147169542886824
scen_economic,TN,0.05695467309718614
scen_economic,TX,0.1445129310802639
scen_economic,UT,0.4844861103556648
scen_economic,VA,0.020678386445510337
scen_economic,VT,0.008951804414352083
scen_economic,WA,0.40825690344823534
scen_economic,WI,0.08416966647225331
scen_economic,WV,0.015978325266027837
scen_economic,WY,0.08622527577819912
scen_structured_rand,AK,0.3448420651196168
scen_structured_rand,AL,0.03256592819259207
scen_structured_rand,AR,0.07076130689252194
scen_structured_rand,AZ,0.39096218601186095
scen_structured_rand,CA,0.0
scen_structured_rand,CO,0.2346758926598311
scen_structured_rand,CT,0.005703962121228224
