sector,build,Leontief,IIM,Ghosh
Financial and insurance activities,g0.5,-27726.566458242458,-59184.1983059073,-37159.06883699212
Human health and social work activities,g0.5,-2208.3467582500793,-2485.4858307675663,-16174.88718302847
Land transport and transport via pipelines,g0.5,-3376.290221799115,-5989.421694945691,-4284.397542909819
"Manufacture of chemicals and chemical products, pharmaceutical",g0.5,-4513.4311904268325,-8176.425724578369,-5022.985921510082
Manufacture of coke and refined petroleum products,g0.5,-4513.747654865624,-8138.097831030914,-1638.2425849908989
"Manufacture of computer, electronic and optical products",g0.5,-870.7875767663079,-1636.1958045112528,-1333.5110403978429
Manufacture of electrical equipment,g0.5,-430.70872676744335,-708.5164380098953,-800.2746867734443
Manufacture of fabricated metal products,g0.5,-3114.800561986555,-5241.4938689436685,-2846.4546542945495
Manufacture of food and beverage and tobacco products,g0.5,-1628.3439002468326,-2236.5094432649867,-8004.506319016248
Manufacture of furniture,g0.5,-2175.20416214296,-2824.4057145770726,-1774.4564188755007
Manufacture of machinery and equipment n.e.c. ,g0.5,-910.8083935075205,-1531.5122860698123,-2654.0609575026474
"Manufacture of motor vehicles, trailers and semi-trailers",g0.5,-1091.7186557930313,-1936.3353017032564,-5637.079566208049
Manufacture of other non-metallic mineral products,g0.5,-1359.9161521484123,-2213.3977633466634,-984.3445232272986
Manufacture of other transport equipment,g0.5,-832.5500827835937,-1245.5441385543777,-2005.6639460957422
Manufacture of paper and paper products,g0.5,-2537.8526052912102,-4910.89718053388,-2169.8295616534374
Manufacture of rubber and plastic products,g0.5,-1821.3618219603188,-3036.424262114673,-2058.406910938119
"Manufacture of textiles, wearing apparel, leather and related products",g0.5,-183.82007557985213,-286.6146871911343,-532.2354136404107
Manufacture of wood and of products of wood and cork,g0.5,-1312.4365822676898,-2072.7635304991745,-784.5589807364713
"Mining, except oil & gas",g0.5,-974.2347242539443,-1849.7684848633828,-691.1248030725
Oil and gas extraction,g0.5,-2434.6120618050336,-4369.372758476598,-1376.4831224253523
Other services + wholesale/retail,g0.5,-14756.544430461674,-25384.193753024232,-31756.973737933822
"Professional, scientific and technical activities",g0.5,-25688.961556218823,-50710.30805150252,-17564.5011322237
