region,build,Leontief,IIM,Ghosh
MAR,g2.0,-29.81631231659026,-54.039347585484336,-50.624384199930105
MD,g2.0,-4805.999513848619,-9102.098828385082,-7184.611201224153
ME,g2.0,-2407.5248440402593,-4433.791799780074,-3021.204687630689
MEX,g2.0,-2108.2037958038068,-3651.75795425779,-2732.5299080456757
MI,g2.0,-4107.301942881951,-7526.976405243674,-8034.49014519587
MLT,g2.0,-21.789037805744748,-44.43635163361392,-55.07177965911826
MMR,g2.0,-11.716694022105873,-17.695481028036703,-14.73630875501005
MN,g2.0,-1860.5414594921876,-3326.052209687386,-3209.1575990854867
MO,g2.0,-977.379095075775,-1791.1280442940854,-2087.055131571897
MS,g2.0,-430.38978034004367,-770.4007077679428,-866.4001684785409
MT,g2.0,-260.1613154638552,-461.11890483201915,-286.47871650261953
MYS,g2.0,-310.0972925541781,-551.6564224172329,-505.92937415080326
NC,g2.0,-5531.226541558885,-10236.144677110215,-8307.259408888998
ND,g2.0,-335.72074678004964,-576.1969669336737,-493.1354411724272
NE,g2.0,-470.00943534536117,-810.8451183974428,-746.2858542014659
NGA,g2.0,-150.45888680201057,-276.8965259518306,-110.83551492706208
NH,g2.0,-4394.290111723191,-8245.69022269107,-5048.281294253273
NJ,g2.0,-19888.56394819746,-37615.36414693042,-21960.42417969759
NLD,g2.0,-536.9871637290996,-994.5005645843684,-1383.8011727605608
NM,g2.0,-334.5378926464959,-606.7717464007658,-559.823460215165
NOR,g2.0,-238.37576963949616,-408.8486303691116,-247.77436240187174
NV,g2.0,-215.19727337276043,-412.35650102635265,-418.6997370495639
NY,g2.0,-533556.1014907764,-973621.2900182734,-581332.5858293262
NZL,g2.0,-67.34077486349554,-112.99140547915337,-153.57503526498397
OH,g2.0,-6089.238202231036,-11340.557280824316,-9509.030338667113
OK,g2.0,-993.9141102888368,-1778.2209905443551,-1234.5040081627837
OR,g2.0,-252.469990128436,-458.1724783398608,-642.6589265321904
PA,g2.0,-18732.466689004475,-35405.03845390514,-21892.559637493814
PAK,g2.0,-47.04235390118805,-82.42647306117428,-58.71595956214085
PER,g2.0,-104.2734412364409,-189.35667846040155,-238.26889086897896
PHL,g2.0,-215.75913510723626,-400.8211840340619,-198.21316453723557
POL,g2.0,-190.43938964989886,-342.20136301917046,-302.75614304293396
PRT,g2.0,-91.51108989555676,-162.32388983134672,-77.78961108571157
RI,g2.0,-2102.6158324356,-3971.0851662651926,-2357.032060719415
ROU,g2.0,-61.140651664015316,-111.19690584047808,-174.12922532507434
ROW,g2.0,-1905.5551937860075,-3432.1677914998118,-2465.9067684923025
RUS,g2.0,-683.6654820101248,-1248.4341493141164,-586.26055032317
SAU,g2.0,-418.5081875734666,-772.0325074634825,-386.7786477860852
SC,g2.0,-1328.1761563866226,-2433.885940185316,-2355.7386310258876
SD,g2.0,-265.524650815441,-453.0735896860772,-452.7972276203527
SEN,g2.0,-2.514809798009232,-4.210022249208592,-4.755899925800012
SGP,g2.0,-687.3502307768167,-1297.6660787570918,-1427.2522386158037
STP,g2.0,-0.07683952882692423,-0.15913943342666878,-0.09515120561741738
SVK,g2.0,-40.24436153502808,-71.14984918660869,-57.71705713533838
SVN,g2.0,-16.41342793743505,-29.070213590142398,-25.297828131867448
SWE,g2.0,-243.52472100290927,-442.7290812101499,-496.88166929906964
THA,g2.0,-340.14379526835984,-567.7044000322476,-613.8818349764354
TN,g2.0,-1694.6705571127927,-3122.72270092249,-3427.9754954162227
TUN,g2.0,-9.911086371095475,-17.93217528447395,-16.025210597599873
TUR,g2.0,-210.88053761623638,-369.0686728713158,-372.5236424502863
TWN,g2.0,-646.4168481010049,-1124.171067442943,-772.0473199671708
TX,g2.0,-6430.045075349936,-11736.237231871379,-14069.854296339785
UKR,g2.0,-35.78861217728259,-67.09233949369802,-84.57083978135353
